epoch,acc,loss,val_acc,val_loss
0,0.546175,1.311897351026535,0.6241,1.0893705572128296
1,0.599825,1.1454120723724366,0.6372,1.0296126434326172
2,0.6115,1.1216927654981612,0.6105,1.1259736545562744
3,0.616225,1.1061310254096985,0.6322,1.0782383687973023
4,0.62465,1.0934992504119874,0.6413,1.0399519825935364
5,0.62915,1.081863409614563,0.6225,1.1059534168243408
6,0.62885,1.080450998210907,0.6352,1.0888034381866456
7,0.636175,1.0638496507167816,0.6453,1.046553053665161
8,0.640225,1.0553995439052581,0.627,1.0771144352912903
9,0.642325,1.0505527765274048,0.6505,1.0115762387275695
10,0.6394,1.053192383980751,0.6265,1.088182077217102
11,0.643425,1.045145126581192,0.6639,1.012805503463745
12,0.6467,1.037987312936783,0.6466,1.0538085969924926
13,0.648225,1.0352344109535216,0.6397,1.0725867156028748
14,0.6478,1.0278626112937927,0.6422,1.054294379901886
15,0.651875,1.0210184725999831,0.5998,1.230966192817688
16,0.648425,1.028438047146797,0.6515,1.0842067476272583
17,0.6562,1.0142331881999969,0.6367,1.0465161317825318
18,0.6537,1.026832283258438,0.621,1.1201751192092895
19,0.65425,1.0161836719036101,0.6527,1.0576382386207581
20,0.6557,1.0172524148702622,0.6472,1.0751324907302857
21,0.6586,1.0102440019607544,0.65,1.0602829801559448
22,0.659025,1.0113819684267045,0.6254,1.1813034692764282
23,0.656525,1.010025055384636,0.6615,1.0348564268112184
24,0.656625,1.0078685291051865,0.6457,1.079567996788025
25,0.65825,1.0108788639307023,0.6471,1.0784239267349243
26,0.658175,1.0041627997398377,0.6601,1.0151689499378205
27,0.661225,1.0019009825229646,0.6359,1.1104842681884766
28,0.65695,1.0062334939718247,0.6313,1.1330949644088746
29,0.660175,1.0077592467069625,0.6402,1.1184493844032288
30,0.662375,0.9986117131233215,0.6583,1.0356382837295532
31,0.65965,0.9962324957847595,0.6484,1.0869163953781127
32,0.65725,1.0077451738357543,0.6201,1.1914094720840454
33,0.66135,0.9950099210500717,0.6206,1.153532410812378
34,0.66145,1.0007403555870056,0.6541,1.0600642179489135
35,0.664525,0.9909828754663468,0.6583,1.045233992958069
36,0.666325,0.9881813182830811,0.6251,1.1400254499435425
37,0.664875,0.9859778907299042,0.6314,1.116764296722412
38,0.6637,0.9898993716716766,0.6073,1.2970608251571656
39,0.6645,0.9916553758859634,0.6136,1.177169447517395
40,0.6637,0.9912583769798279,0.6189,1.2130789699554443
41,0.66555,0.9869214843988419,0.6592,1.0120245296478272
42,0.664975,0.9960660551786422,0.6305,1.129777898311615
43,0.668225,0.9796936755895614,0.6276,1.1776889255523681
44,0.668775,0.9827977790594101,0.6144,1.2196491781234742
45,0.66845,0.9893771762371063,0.5904,1.2934119663238526
46,0.66795,0.9802289801597596,0.6278,1.1883498335838318
47,0.6658,0.9850774437189103,0.6042,1.2770346500396728
48,0.670825,0.9770077803134918,0.6534,1.0612681162834168
49,0.671175,0.9821597476005555,0.6147,1.1949131671905517
50,0.66805,0.9850570622205734,0.6232,1.2031469133377075
51,0.672225,0.9763456632137298,0.6419,1.124717093372345
52,0.66815,0.9815893676042556,0.6471,1.1098236968040467
