epoch,acc,loss,val_acc,val_loss
0,0.470225,1.535298953294754,0.6102,1.138228639793396
1,0.5272,1.3602112088680267,0.6077,1.138974822998047
2,0.545125,1.3174324043750762,0.6525,1.06254137134552
3,0.557,1.2854265035629273,0.6273,1.096755570602417
4,0.5636,1.2781715771198272,0.6271,1.0916820302009582
5,0.56795,1.26728420753479,0.639,1.0903751224517821
6,0.576,1.2496438977241515,0.6348,1.0865179107666016
7,0.574325,1.2462236441135406,0.6451,1.0746863880157471
8,0.583325,1.2340908615589141,0.6475,1.0557320375442505
9,0.5798,1.2499074215888977,0.6092,1.1352992122650147
10,0.57845,1.2460312376499176,0.6463,1.046362919807434
11,0.58325,1.2442171626091003,0.6156,1.1751530353546142
12,0.584625,1.2342419474124908,0.6139,1.1466315799713134
13,0.5908,1.2215711597442627,0.6059,1.2141589643478394
14,0.592625,1.2262712477684021,0.6307,1.1050108570098878
15,0.588175,1.2288297518730165,0.6122,1.1626490434646606
16,0.589375,1.2241419223308563,0.6328,1.1016564052581788
17,0.588375,1.2301393597602843,0.6302,1.0972610265731813
18,0.5906,1.2138002254724503,0.6228,1.1125372337341308
19,0.593575,1.2192032430648805,0.6561,1.0464814521789552
20,0.597825,1.2127366776943207,0.6457,1.0795255416870118
21,0.594225,1.2198260950565338,0.6125,1.193760745048523
22,0.596075,1.2078515665531158,0.6501,1.064309892463684
23,0.59345,1.2170409341812134,0.6557,1.0394526308059693
24,0.591175,1.2241082948207855,0.62,1.1974075422286987
25,0.59775,1.209393105506897,0.6376,1.1407228735923767
26,0.598925,1.211139199757576,0.6468,1.0800192837715148
27,0.597775,1.2084372091770172,0.6556,1.06951865940094
28,0.5944,1.2150194519519806,0.6174,1.191897767829895
29,0.5961,1.2133209966897964,0.5892,1.2961168369293212
30,0.601125,1.2031956374168395,0.6133,1.2043657403945922
31,0.597025,1.212281000471115,0.6418,1.1336028497695922
32,0.6026,1.2072968548297882,0.6147,1.1930326316833497
33,0.595625,1.2136971387386322,0.6282,1.160631026649475
34,0.597925,1.2052868649482726,0.634,1.1379147948265076
35,0.597925,1.2096784873962403,0.6372,1.133889744567871
36,0.603525,1.1992239896774293,0.6054,1.2744129413604737
37,0.599675,1.216308613014221,0.6489,1.0759673070907594
38,0.603575,1.1930816925048828,0.6234,1.1612052297592164
39,0.6016,1.2112644261360168,0.6335,1.1045679558753967
40,0.601825,1.2085049988269805,0.6286,1.1314231679916382
41,0.598725,1.2076634512901305,0.6173,1.1929717224121095
42,0.5979,1.2041940024852753,0.5967,1.2580797222137452
43,0.6036,1.1978394176483154,0.6005,1.2768678297042846
44,0.60465,1.1969779324531555,0.6282,1.1315929655075074
45,0.600675,1.2073979986667633,0.61,1.2391379560470581
46,0.601925,1.2047567810058595,0.6206,1.2023495006084441
47,0.608325,1.1922458332538606,0.6453,1.0972011810302735
48,0.60145,1.210688679599762,0.6398,1.1448865883827208
49,0.599675,1.2123451047897338,0.6316,1.1922261533737182
50,0.602775,1.2000083539009094,0.6255,1.1570108638763428
51,0.60325,1.2034532512664795,0.6253,1.176040838623047
52,0.600275,1.2007369629859925,0.617,1.1807275608062744
53,0.60205,1.201941989159584,0.6301,1.1843198644638062
54,0.608475,1.1978563407897949,0.6202,1.1915292131423951
55,0.607425,1.1911689667224885,0.6065,1.2685001335144044
56,0.60395,1.2067855309486388,0.5987,1.335863475418091
57,0.606625,1.1944327535629273,0.6255,1.2405968486785888
58,0.60275,1.2062546776771546,0.6312,1.2040475907325745
59,0.604425,1.1943671214580536,0.6325,1.1711987345695496
60,0.606,1.1962194900035859,0.607,1.2659946619033813
61,0.60155,1.201388985300064,0.6158,1.1959584709167481
62,0.6094,1.190137203645706,0.6385,1.1591378477096557
63,0.603725,1.212802622795105,0.6501,1.0691165601730346
64,0.604925,1.1985455126523972,0.6257,1.1311128440856935
65,0.60615,1.1974798092842103,0.639,1.1304565998077392
66,0.6052,1.1979584900856017,0.6242,1.1652301485061645
67,0.6074,1.1975623040676118,0.6332,1.1308841346740723
68,0.601175,1.202998192381859,0.629,1.1963546394348143
69,0.604975,1.2010320798397065,0.6171,1.2330654033660888
70,0.6048,1.2081717351913452,0.6455,1.1311990661621094
71,0.6061,1.2012931538581848,0.6367,1.1800904312133789
72,0.607225,1.2031961396217346,0.6169,1.1680523859024048
73,0.604175,1.2096002755641937,0.6187,1.166632188796997
74,0.60765,1.1911155840873717,0.6247,1.1742497648239136
75,0.609175,1.1969552939891814,0.6299,1.1572833415985107
76,0.6096,1.1940022900819778,0.6248,1.1816192998886108
77,0.604875,1.1993072156190872,0.6295,1.1556510274887084
78,0.60625,1.2064721704959869,0.6235,1.1959542778015138
79,0.607125,1.1897229347229004,0.623,1.2190413452148436
80,0.604675,1.2009913868427278,0.6238,1.2138782260894776
81,0.608475,1.1965719027996062,0.6329,1.1510421190261841
82,0.603,1.2041251638412476,0.6155,1.252940250492096
83,0.60395,1.2046792999267577,0.6009,1.2915454971313476
84,0.6118,1.1945932956695557,0.6269,1.1878553131103515
85,0.60705,1.1971235799789428,0.634,1.1574092683792114
86,0.603825,1.1930685917377473,0.616,1.2118622846603393
